phrog	color	annot	category
22018	#c9c9c9	NA	unknown function
22019	#c9c9c9	NA	unknown function
22020	#c9c9c9	NA	unknown function
22021	#c9c9c9	NA	unknown function
22022	#c9c9c9	NA	unknown function
22023	#c9c9c9	NA	unknown function
22024	#c9c9c9	NA	unknown function
22025	#c9c9c9	NA	unknown function
22026	#c9c9c9	NA	unknown function
22027	#c9c9c9	NA	unknown function
22028	#c9c9c9	NA	unknown function
22029	#c9c9c9	NA	unknown function
22030	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
22031	#c9c9c9	NA	unknown function
22032	#c9c9c9	NA	unknown function
22033	#3e83f6	virion structural protein	head and packaging
22034	#c9c9c9	NA	unknown function
22035	#c9c9c9	NA	unknown function
22036	#c9c9c9	NA	unknown function
22037	#07e9a2	tail spike protein	tail
22038	#c9c9c9	NA	unknown function
22039	#c9c9c9	NA	unknown function
22040	#c9c9c9	NA	unknown function
22041	#c9c9c9	NA	unknown function
22042	#c9c9c9	NA	unknown function
22043	#c9c9c9	NA	unknown function
22044	#c9c9c9	NA	unknown function
22045	#c9c9c9	NA	unknown function
22046	#c9c9c9	NA	unknown function
22047	#c9c9c9	NA	unknown function
22048	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
22049	#c9c9c9	NA	unknown function
22050	#c9c9c9	NA	unknown function
22051	#c9c9c9	NA	unknown function
22052	#c9c9c9	NA	unknown function
22053	#c9c9c9	NA	unknown function
22054	#c9c9c9	NA	unknown function
22055	#c9c9c9	NA	unknown function
22056	#07e9a2	baseplate wedge subunit	tail
22057	#c9c9c9	NA	unknown function
22058	#c9c9c9	NA	unknown function
22059	#c9c9c9	NA	unknown function
22060	#c9c9c9	NA	unknown function
22061	#c9c9c9	NA	unknown function
22062	#c9c9c9	NA	unknown function
22063	#c9c9c9	NA	unknown function
22064	#3e83f6	virion structural protein	head and packaging
22065	#07e9a2	tail sheath	tail
22066	#c9c9c9	NA	unknown function
22067	#c9c9c9	NA	unknown function
22068	#c9c9c9	NA	unknown function
22069	#c9c9c9	NA	unknown function
22070	#c9c9c9	NA	unknown function
22071	#c9c9c9	NA	unknown function
22072	#c9c9c9	NA	unknown function
22073	#c9c9c9	NA	unknown function
22074	#c9c9c9	NA	unknown function
22075	#c9c9c9	NA	unknown function
22076	#c9c9c9	NA	unknown function
22077	#c9c9c9	NA	unknown function
22078	#c9c9c9	NA	unknown function
22079	#c9c9c9	NA	unknown function
22080	#c9c9c9	NA	unknown function
22081	#c9c9c9	NA	unknown function
22082	#c9c9c9	NA	unknown function
22083	#c9c9c9	NA	unknown function
22084	#c9c9c9	NA	unknown function
22085	#c9c9c9	NA	unknown function
22086	#c9c9c9	NA	unknown function
22087	#c9c9c9	NA	unknown function
22088	#c9c9c9	NA	unknown function
22089	#c9c9c9	NA	unknown function
22090	#c9c9c9	NA	unknown function
22091	#c9c9c9	NA	unknown function
22092	#c9c9c9	NA	unknown function
22093	#c9c9c9	NA	unknown function
22094	#c9c9c9	NA	unknown function
22095	#c9c9c9	NA	unknown function
22096	#c9c9c9	NA	unknown function
22097	#c9c9c9	NA	unknown function
22098	#c9c9c9	NA	unknown function
22099	#c9c9c9	NA	unknown function
22100	#c9c9c9	NA	unknown function
22101	#c9c9c9	NA	unknown function
22102	#c9c9c9	NA	unknown function
22103	#c9c9c9	NA	unknown function
22104	#c9c9c9	NA	unknown function
22105	#c9c9c9	NA	unknown function
22106	#c9c9c9	NA	unknown function
22107	#c9c9c9	NA	unknown function
22108	#c9c9c9	NA	unknown function
22109	#c9c9c9	NA	unknown function
22110	#c9c9c9	NA	unknown function
22111	#c9c9c9	NA	unknown function
22112	#c9c9c9	NA	unknown function
22113	#c9c9c9	NA	unknown function
22114	#c9c9c9	NA	unknown function
22115	#c9c9c9	NA	unknown function
22116	#c9c9c9	NA	unknown function
22117	#c9c9c9	NA	unknown function
22118	#c9c9c9	NA	unknown function
22119	#c9c9c9	NA	unknown function
22120	#c9c9c9	NA	unknown function
22121	#c9c9c9	NA	unknown function
22122	#c9c9c9	NA	unknown function
22123	#c9c9c9	NA	unknown function
22124	#c9c9c9	NA	unknown function
22125	#c9c9c9	NA	unknown function
22126	#c9c9c9	NA	unknown function
22127	#f35f49	holin	lysis
22128	#c9c9c9	NA	unknown function
22129	#c9c9c9	NA	unknown function
22130	#c9c9c9	NA	unknown function
22131	#c9c9c9	NA	unknown function
22132	#c9c9c9	NA	unknown function
22133	#c9c9c9	NA	unknown function
22134	#c9c9c9	NA	unknown function
22135	#c9c9c9	NA	unknown function
22136	#07e9a2	minor tail protein	tail
22137	#c9c9c9	NA	unknown function
22138	#c9c9c9	NA	unknown function
22139	#c9c9c9	NA	unknown function
22140	#c9c9c9	NA	unknown function
22141	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
22142	#c9c9c9	NA	unknown function
22143	#c9c9c9	NA	unknown function
22144	#c9c9c9	NA	unknown function
22145	#c9c9c9	NA	unknown function
22146	#c9c9c9	NA	unknown function
22147	#c9c9c9	NA	unknown function
22148	#c9c9c9	NA	unknown function
22149	#c9c9c9	NA	unknown function
22150	#c9c9c9	NA	unknown function
22151	#c9c9c9	NA	unknown function
22152	#c9c9c9	NA	unknown function
22153	#c9c9c9	NA	unknown function
22154	#c9c9c9	NA	unknown function
22155	#c9c9c9	NA	unknown function
22156	#c9c9c9	NA	unknown function
22157	#c9c9c9	NA	unknown function
22158	#c9c9c9	NA	unknown function
22159	#c9c9c9	NA	unknown function
22160	#c9c9c9	NA	unknown function
22161	#c9c9c9	NA	unknown function
22162	#c9c9c9	NA	unknown function
22163	#c9c9c9	NA	unknown function
22164	#c9c9c9	NA	unknown function
22165	#c9c9c9	NA	unknown function
22166	#c9c9c9	NA	unknown function
22167	#c9c9c9	NA	unknown function
22168	#c9c9c9	NA	unknown function
22169	#c9c9c9	NA	unknown function
22170	#c9c9c9	NA	unknown function
22171	#c9c9c9	NA	unknown function
22172	#c9c9c9	NA	unknown function
22173	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
22174	#c9c9c9	NA	unknown function
22175	#c9c9c9	NA	unknown function
22176	#c9c9c9	NA	unknown function
22177	#c9c9c9	NA	unknown function
22178	#c9c9c9	NA	unknown function
22179	#07e9a2	tail fiber protein	tail
22180	#c9c9c9	NA	unknown function
22181	#c9c9c9	NA	unknown function
22182	#c9c9c9	NA	unknown function
22183	#c9c9c9	NA	unknown function
22184	#c9c9c9	NA	unknown function
22185	#c9c9c9	NA	unknown function
22186	#c9c9c9	NA	unknown function
22187	#c9c9c9	NA	unknown function
22188	#c9c9c9	NA	unknown function
22189	#c9c9c9	NA	unknown function
22190	#c9c9c9	NA	unknown function
22191	#c9c9c9	NA	unknown function
22192	#c9c9c9	NA	unknown function
22193	#c9c9c9	NA	unknown function
22194	#c9c9c9	NA	unknown function
22195	#c9c9c9	NA	unknown function
22196	#c9c9c9	NA	unknown function
22197	#c9c9c9	NA	unknown function
22198	#c9c9c9	NA	unknown function
22199	#c9c9c9	NA	unknown function
22200	#c9c9c9	NA	unknown function
22201	#07e9a2	tail fiber protein	tail
22202	#a861e3	transcription factor	transcription regulation
22203	#c9c9c9	NA	unknown function
22204	#c9c9c9	NA	unknown function
22205	#c9c9c9	NA	unknown function
22206	#c9c9c9	NA	unknown function
22207	#c9c9c9	NA	unknown function
22208	#c9c9c9	NA	unknown function
22209	#c9c9c9	NA	unknown function
22210	#c9c9c9	NA	unknown function
22211	#c9c9c9	NA	unknown function
22212	#c9c9c9	NA	unknown function
22213	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism
22214	#c9c9c9	NA	unknown function
22215	#c9c9c9	NA	unknown function
22216	#c9c9c9	NA	unknown function
22217	#c9c9c9	NA	unknown function
22218	#c9c9c9	NA	unknown function
22219	#c9c9c9	NA	unknown function
22220	#c9c9c9	NA	unknown function
22221	#c9c9c9	NA	unknown function
22222	#c9c9c9	NA	unknown function
22223	#c9c9c9	NA	unknown function
22224	#c9c9c9	NA	unknown function
22225	#c9c9c9	NA	unknown function
22226	#c9c9c9	NA	unknown function
22227	#c9c9c9	NA	unknown function
22228	#c9c9c9	NA	unknown function
22229	#c9c9c9	NA	unknown function
22230	#a861e3	transcriptional regulator	transcription regulation
22231	#c9c9c9	NA	unknown function
22232	#c9c9c9	unknown function	unknown function
22233	#c9c9c9	NA	unknown function
22234	#c9c9c9	NA	unknown function
22235	#c9c9c9	NA	unknown function
22236	#c9c9c9	NA	unknown function
22237	#c9c9c9	NA	unknown function
22238	#c9c9c9	NA	unknown function
22239	#c9c9c9	NA	unknown function
22240	#c9c9c9	NA	unknown function
22241	#c9c9c9	NA	unknown function
22242	#c9c9c9	NA	unknown function
22243	#c9c9c9	NA	unknown function
22244	#c9c9c9	NA	unknown function
22245	#c9c9c9	NA	unknown function
22246	#c9c9c9	NA	unknown function
22247	#c9c9c9	NA	unknown function
22248	#c9c9c9	NA	unknown function
22249	#c9c9c9	NA	unknown function
22250	#c9c9c9	NA	unknown function
22251	#c9c9c9	NA	unknown function
22252	#c9c9c9	NA	unknown function
22253	#c9c9c9	NA	unknown function
22254	#c9c9c9	NA	unknown function
22255	#c9c9c9	NA	unknown function
22256	#c9c9c9	NA	unknown function
22257	#c9c9c9	NA	unknown function
22258	#c9c9c9	NA	unknown function
22259	#c9c9c9	NA	unknown function
22260	#c9c9c9	NA	unknown function
22261	#c9c9c9	NA	unknown function
22262	#c9c9c9	NA	unknown function
22263	#c9c9c9	NA	unknown function
22264	#c9c9c9	NA	unknown function
22265	#c9c9c9	NA	unknown function
22266	#c9c9c9	NA	unknown function
22267	#a861e3	transcriptional regulator WhiB-like	transcription regulation
22268	#c9c9c9	NA	unknown function
22269	#c9c9c9	NA	unknown function
22270	#c9c9c9	NA	unknown function
22271	#c9c9c9	NA	unknown function
22272	#c9c9c9	NA	unknown function
22273	#c9c9c9	NA	unknown function
22274	#c9c9c9	NA	unknown function
22275	#c9c9c9	NA	unknown function
22276	#c9c9c9	NA	unknown function
22277	#c9c9c9	NA	unknown function
22278	#07e9a2	minor tail protein	tail
22279	#c9c9c9	NA	unknown function
22280	#c9c9c9	NA	unknown function
22281	#c9c9c9	NA	unknown function
22282	#c9c9c9	NA	unknown function
22283	#c9c9c9	NA	unknown function
22284	#07e9a2	tail fiber protein	tail
22285	#07e9a2	tail fiber protein	tail
22286	#c9c9c9	NA	unknown function
22287	#c9c9c9	NA	unknown function
22288	#c9c9c9	NA	unknown function
22289	#c9c9c9	NA	unknown function
22290	#c9c9c9	NA	unknown function
22291	#c9c9c9	NA	unknown function
22292	#c9c9c9	NA	unknown function
22293	#c9c9c9	NA	unknown function
22294	#c9c9c9	NA	unknown function
22295	#c9c9c9	NA	unknown function
22296	#c9c9c9	NA	unknown function
22297	#c9c9c9	NA	unknown function
22298	#c9c9c9	NA	unknown function
22299	#c9c9c9	NA	unknown function
22300	#c9c9c9	NA	unknown function
22301	#c9c9c9	NA	unknown function
22302	#c9c9c9	NA	unknown function
22303	#c9c9c9	NA	unknown function
22304	#c9c9c9	NA	unknown function
22305	#c9c9c9	NA	unknown function
22306	#c9c9c9	NA	unknown function
22307	#c9c9c9	NA	unknown function
22308	#c9c9c9	NA	unknown function
22309	#c9c9c9	NA	unknown function
22310	#c9c9c9	NA	unknown function
22311	#c9c9c9	NA	unknown function
22312	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
22313	#c9c9c9	NA	unknown function
22314	#c9c9c9	NA	unknown function
22315	#c9c9c9	NA	unknown function
22316	#c9c9c9	NA	unknown function
22317	#c9c9c9	NA	unknown function
22318	#c9c9c9	NA	unknown function
22319	#c9c9c9	NA	unknown function
22320	#c9c9c9	NA	unknown function
22321	#c9c9c9	NA	unknown function
22322	#07e9a2	tail protein	tail
22323	#c9c9c9	NA	unknown function
22324	#c9c9c9	NA	unknown function
22325	#c9c9c9	NA	unknown function
22326	#c9c9c9	NA	unknown function
22327	#c9c9c9	NA	unknown function
22328	#c9c9c9	NA	unknown function
22329	#c9c9c9	NA	unknown function
22330	#c9c9c9	NA	unknown function
22331	#c9c9c9	NA	unknown function
22332	#ff59f5	glycosyltransferase	moron, auxiliary metabolic gene and host takeover
22333	#c9c9c9	NA	unknown function
22334	#c9c9c9	NA	unknown function
22335	#c9c9c9	NA	unknown function
22336	#c9c9c9	NA	unknown function
22337	#c9c9c9	NA	unknown function
22338	#c9c9c9	NA	unknown function
22339	#c9c9c9	NA	unknown function
22340	#838383	lipoprotein	other
22341	#c9c9c9	NA	unknown function
22342	#c9c9c9	NA	unknown function
22343	#c9c9c9	NA	unknown function
22344	#c9c9c9	NA	unknown function
22345	#c9c9c9	NA	unknown function
22346	#c9c9c9	NA	unknown function
22347	#c9c9c9	NA	unknown function
22348	#c9c9c9	NA	unknown function
22349	#c9c9c9	NA	unknown function
22350	#a861e3	transcription factor	transcription regulation
22351	#c9c9c9	NA	unknown function
22352	#c9c9c9	NA	unknown function
22353	#c9c9c9	NA	unknown function
22354	#c9c9c9	NA	unknown function
22355	#c9c9c9	NA	unknown function
22356	#c9c9c9	NA	unknown function
22357	#c9c9c9	NA	unknown function
22358	#c9c9c9	NA	unknown function
22359	#c9c9c9	NA	unknown function
22360	#c9c9c9	NA	unknown function
22361	#c9c9c9	NA	unknown function
22362	#c9c9c9	NA	unknown function
22363	#c9c9c9	NA	unknown function
22364	#c9c9c9	NA	unknown function
22365	#c9c9c9	NA	unknown function
22366	#c9c9c9	NA	unknown function
22367	#c9c9c9	NA	unknown function
22368	#c9c9c9	NA	unknown function
22369	#c9c9c9	NA	unknown function
22370	#c9c9c9	NA	unknown function
22371	#c9c9c9	NA	unknown function
22372	#c9c9c9	NA	unknown function
22373	#c9c9c9	NA	unknown function
22374	#c9c9c9	NA	unknown function
22375	#c9c9c9	NA	unknown function
22376	#c9c9c9	NA	unknown function
22377	#ffdf59	restriction endonuclease II	DNA, RNA and nucleotide metabolism
22378	#c9c9c9	NA	unknown function
22379	#c9c9c9	NA	unknown function
22380	#c9c9c9	NA	unknown function
22381	#c9c9c9	NA	unknown function
22382	#c9c9c9	NA	unknown function
22383	#c9c9c9	NA	unknown function
22384	#c9c9c9	NA	unknown function
22385	#c9c9c9	NA	unknown function
22386	#c9c9c9	NA	unknown function
22387	#c9c9c9	NA	unknown function
22388	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
22389	#c9c9c9	NA	unknown function
22390	#c9c9c9	NA	unknown function
22391	#c9c9c9	NA	unknown function
22392	#c9c9c9	NA	unknown function
22393	#c9c9c9	NA	unknown function
22394	#c9c9c9	NA	unknown function
22395	#c9c9c9	NA	unknown function
22396	#c9c9c9	NA	unknown function
22397	#c9c9c9	NA	unknown function
22398	#c9c9c9	NA	unknown function
22399	#c9c9c9	NA	unknown function
22400	#c9c9c9	NA	unknown function
22401	#c9c9c9	NA	unknown function
22402	#c9c9c9	NA	unknown function
22403	#c9c9c9	NA	unknown function
22404	#c9c9c9	NA	unknown function
22405	#c9c9c9	NA	unknown function
22406	#c9c9c9	NA	unknown function
22407	#c9c9c9	NA	unknown function
22408	#c9c9c9	NA	unknown function
22409	#c9c9c9	NA	unknown function
22410	#c9c9c9	NA	unknown function
22411	#c9c9c9	NA	unknown function
22412	#c9c9c9	NA	unknown function
22413	#c9c9c9	NA	unknown function
22414	#c9c9c9	NA	unknown function
22415	#c9c9c9	NA	unknown function
22416	#c9c9c9	NA	unknown function
22417	#c9c9c9	NA	unknown function
22418	#c9c9c9	NA	unknown function
22419	#c9c9c9	NA	unknown function
22420	#c9c9c9	NA	unknown function
22421	#c9c9c9	NA	unknown function
22422	#c9c9c9	NA	unknown function
22423	#c9c9c9	NA	unknown function
22424	#c9c9c9	NA	unknown function
22425	#c9c9c9	NA	unknown function
22426	#f35f49	Rz-like spanin	lysis
22427	#c9c9c9	NA	unknown function
22428	#c9c9c9	NA	unknown function
22429	#c9c9c9	NA	unknown function
22430	#c9c9c9	NA	unknown function
22431	#c9c9c9	NA	unknown function
22432	#c9c9c9	NA	unknown function
22433	#c9c9c9	NA	unknown function
22434	#c9c9c9	NA	unknown function
22435	#c9c9c9	NA	unknown function
22436	#c9c9c9	NA	unknown function
22437	#c9c9c9	NA	unknown function
22438	#c9c9c9	NA	unknown function
22439	#c9c9c9	NA	unknown function
22440	#c9c9c9	NA	unknown function
22441	#c9c9c9	NA	unknown function
22442	#c9c9c9	NA	unknown function
22443	#c9c9c9	NA	unknown function
22444	#c9c9c9	NA	unknown function
22445	#c9c9c9	NA	unknown function
22446	#c9c9c9	NA	unknown function
22447	#c9c9c9	NA	unknown function
22448	#c9c9c9	NA	unknown function
22449	#c9c9c9	NA	unknown function
22450	#c9c9c9	NA	unknown function
22451	#c9c9c9	NA	unknown function
22452	#c9c9c9	NA	unknown function
22453	#c9c9c9	NA	unknown function
22454	#c9c9c9	NA	unknown function
22455	#c9c9c9	NA	unknown function
22456	#c9c9c9	NA	unknown function
22457	#c9c9c9	NA	unknown function
22458	#c9c9c9	NA	unknown function
22459	#c9c9c9	NA	unknown function
22460	#c9c9c9	NA	unknown function
22461	#c9c9c9	NA	unknown function
22462	#c9c9c9	NA	unknown function
22463	#c9c9c9	NA	unknown function
22464	#c9c9c9	NA	unknown function
22465	#c9c9c9	NA	unknown function
22466	#c9c9c9	NA	unknown function
22467	#c9c9c9	NA	unknown function
22468	#c9c9c9	NA	unknown function
22469	#c9c9c9	NA	unknown function
22470	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism
22471	#c9c9c9	NA	unknown function
22472	#c9c9c9	NA	unknown function
22473	#c9c9c9	NA	unknown function
22474	#f35f49	endolysin	lysis
22475	#c9c9c9	NA	unknown function
22476	#c9c9c9	NA	unknown function
22477	#c9c9c9	NA	unknown function
22478	#c9c9c9	NA	unknown function
22479	#c9c9c9	NA	unknown function
22480	#c9c9c9	NA	unknown function
22481	#c9c9c9	NA	unknown function
22482	#c9c9c9	NA	unknown function
22483	#c9c9c9	NA	unknown function
22484	#c9c9c9	NA	unknown function
22485	#c9c9c9	NA	unknown function
22486	#c9c9c9	NA	unknown function
22487	#c9c9c9	NA	unknown function
22488	#c9c9c9	NA	unknown function
22489	#3e83f6	virion structural protein	head and packaging
22490	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism
22491	#c9c9c9	NA	unknown function
22492	#c9c9c9	NA	unknown function
22493	#c9c9c9	NA	unknown function
22494	#c9c9c9	NA	unknown function
22495	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
22496	#c9c9c9	NA	unknown function
22497	#c9c9c9	NA	unknown function
22498	#c9c9c9	NA	unknown function
22499	#c9c9c9	NA	unknown function
22500	#c9c9c9	NA	unknown function
22501	#c9c9c9	NA	unknown function
22502	#838383	methyltransferase	other
22503	#c9c9c9	NA	unknown function
22504	#c9c9c9	NA	unknown function
22505	#c9c9c9	NA	unknown function
22506	#c9c9c9	NA	unknown function
22507	#c9c9c9	NA	unknown function
22508	#c9c9c9	NA	unknown function
22509	#c9c9c9	NA	unknown function
22510	#c9c9c9	NA	unknown function
22511	#c9c9c9	NA	unknown function
22512	#c9c9c9	NA	unknown function
22513	#c9c9c9	NA	unknown function
22514	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
22515	#c9c9c9	NA	unknown function
22516	#c9c9c9	NA	unknown function
22517	#838383	lipoprotein	other
22518	#c9c9c9	NA	unknown function
22519	#c9c9c9	NA	unknown function
22520	#c9c9c9	NA	unknown function
22521	#c9c9c9	NA	unknown function
22522	#c9c9c9	NA	unknown function
22523	#c9c9c9	NA	unknown function
22524	#c9c9c9	NA	unknown function
22525	#c9c9c9	NA	unknown function
22526	#c9c9c9	NA	unknown function
22527	#c9c9c9	NA	unknown function
22528	#c9c9c9	NA	unknown function
22529	#c9c9c9	NA	unknown function
22530	#c9c9c9	NA	unknown function
22531	#c9c9c9	NA	unknown function
22532	#c9c9c9	NA	unknown function
22533	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
22534	#c9c9c9	NA	unknown function
22535	#c9c9c9	NA	unknown function
22536	#c9c9c9	NA	unknown function
22537	#c9c9c9	NA	unknown function
22538	#c9c9c9	NA	unknown function
22539	#c9c9c9	NA	unknown function
22540	#c9c9c9	NA	unknown function
22541	#c9c9c9	NA	unknown function
22542	#c9c9c9	NA	unknown function
22543	#c9c9c9	NA	unknown function
22544	#c9c9c9	NA	unknown function
22545	#c9c9c9	NA	unknown function
22546	#c9c9c9	NA	unknown function
22547	#c9c9c9	NA	unknown function
22548	#c9c9c9	NA	unknown function
22549	#c9c9c9	NA	unknown function
22550	#c9c9c9	NA	unknown function
22551	#c9c9c9	NA	unknown function
22552	#c9c9c9	NA	unknown function
22553	#c9c9c9	NA	unknown function
22554	#c9c9c9	NA	unknown function
22555	#c9c9c9	NA	unknown function
22556	#c9c9c9	NA	unknown function
22557	#c9c9c9	NA	unknown function
22558	#c9c9c9	NA	unknown function
22559	#c9c9c9	NA	unknown function
22560	#07e9a2	tail protein	tail
22561	#07e9a2	minor tail protein	tail
22562	#c9c9c9	NA	unknown function
22563	#c9c9c9	NA	unknown function
22564	#c9c9c9	NA	unknown function
22565	#c9c9c9	NA	unknown function
22566	#c9c9c9	NA	unknown function
